taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Plesiomonas	0.0144	2	8	1.930	0.0000	0.0720	0.0428	0.0000	0.0000	0.0000	0.0000	0.0000
Roseburia	0.0142	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1134	0.0000	0.0000	0.0000
Microcystis PCC-7914	0.0141	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1130	0.0000	0.0000
Runella	0.0141	5	8	0.883	0.0000	0.0192	0.0184	0.0000	0.0321	0.0194	0.0234	0.0000
Reyranella	0.0140	3	8	1.610	0.0000	0.0000	0.0592	0.0000	0.0370	0.0158	0.0000	0.0000
Streptomyces	0.0135	2	8	1.947	0.0000	0.0000	0.0694	0.0000	0.0000	0.0389	0.0000	0.0000
Hydrobacter	0.0133	1	8	NA	0.0000	0.0000	0.1061	0.0000	0.0000	0.0000	0.0000	0.0000
Rhodoluna	0.0133	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1060	0.0000	0.0000	0.0000
Acidothermus	0.0132	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1055	0.0000
Nordella	0.0131	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.1045	0.0000	0.0000
Sandarakinorhabdus	0.0129	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1036	0.0000	0.0000	0.0000
Nakamurella	0.0128	2	8	1.978	0.0000	0.0000	0.0347	0.0000	0.0000	0.0680	0.0000	0.0000
CENA359	0.0126	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.1011	0.0000	0.0000	0.0000
Pseudarcicella	0.0123	4	8	1.096	0.0000	0.0288	0.0265	0.0000	0.0247	0.0182	0.0000	0.0000
Anaerosporobacter	0.0120	1	8	NA	0.0000	0.0000	0.0959	0.0000	0.0000	0.0000	0.0000	0.0000
Lachnospiraceae UCG-008	0.0118	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0948	0.0000	0.0000
Roseivirga	0.0117	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0936	0.0000	0.0000
Lautropia	0.0113	2	8	1.918	0.0000	0.0000	0.0347	0.0000	0.0000	0.0559	0.0000	0.0000
Ahniella	0.0112	2	8	1.891	0.0000	0.0528	0.0367	0.0000	0.0000	0.0000	0.0000	0.0000
LD29	0.0111	3	8	1.516	0.0000	0.0000	0.0000	0.0000	0.0444	0.0207	0.0234	0.0000
ADurb.Bin063-1	0.0110	2	8	1.981	0.0000	0.0000	0.0000	0.0000	0.0296	0.0000	0.0586	0.0000
Candidatus Solibacter	0.0110	2	8	1.862	0.0000	0.0480	0.0000	0.0000	0.0000	0.0401	0.0000	0.0000
Waddlia	0.0107	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0860	0.0000
Pseudonocardia	0.0107	1	8	NA	0.0000	0.0000	0.0857	0.0000	0.0000	0.0000	0.0000	0.0000
Geothrix	0.0106	3	8	1.657	0.0000	0.0384	0.0000	0.0000	0.0000	0.0073	0.0391	0.0000
Limnothrix	0.0103	2	8	2.136	0.0000	0.0000	0.0000	0.0000	0.0616	0.0207	0.0000	0.0000
Haematobacter	0.0103	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0821	0.0000
Rudanella	0.0100	3	8	1.387	0.0000	0.0240	0.0265	0.0000	0.0000	0.0292	0.0000	0.0000
Leptolyngbya FYG	0.0099	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0790	0.0000	0.0000
Arthronema SAG 12.89	0.0098	2	8	2.235	0.0000	0.0624	0.0163	0.0000	0.0000	0.0000	0.0000	0.0000
Pir2 lineage	0.0098	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0782	0.0000
Tomitella	0.0098	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0782	0.0000
